,meshid,name
0,unknown,adaptor_proteins
1,unknown,signal_transducing
2,L01.453.245.667.060,amino_acid_sequence
3,D12.776.157,carrier_proteins
4,H01.181,chemistry
5,H01.158.273.343,genetics
6,H01.181.529.240,crystallography
7,unknown,x-ray
8,B01.050.150.900.649.313.988.400.112.400.400,humans
9,L01.453.245.667,molecular_sequence_data
10,D10.570.755,phospholipids
11,G03,metabolism
12,D12.776.664.962.829.250,polypyrimidine_tract-binding_protein
13,unknown,protein_structure
14,unknown,tertiary
15,G04.835,signal_transduction
16,H01.158.782,physiology
17,B01.050,animals
18,D12.776.947.187,autophagy-related_protein_8_family
19,D12.776.503.303,calreticulin
20,D27.720.470.480,ligands
21,D12.776.543,membrane_proteins
22,D12.776.220.525,microfilament_proteins
23,D12.776.631.560,microtubule-associated_proteins
24,D12.776.631,nerve_tissue_proteins
25,unknown,receptors
26,unknown,gaba-a
27,E05.242.384.100,biopsy
28,E04.210,digestive_system_surgical_procedures
29,G03.458,lipid_metabolism
30,A03.620,liver
31,B01.050.150.900.649.313.500.880,swine
32,D23.767.261.700.860,vitamin_a
33,J02.500.631.600,vitamins
34,G07.345.500.100,body_patterning
35,D12.776.260,dna-binding_proteins
36,B01.050.500.131.617.720.500.500.750.310.250,drosophila
37,H01.158.273.200.350,embryology
38,D12.776.093.500.462,drosophila_proteins
39,G05.308,gene_expression_regulation
40,unknown,developmental
41,G05.360.340.024.340,genes
42,unknown,homeobox
43,unknown,insect
44,D27.505.696.399.472,hormones
45,D12.776.930.397.700,mef2_transcription_factors
46,unknown,metamorphosis
47,unknown,biological
48,G07.345.500,morphogenesis
49,A11.671.655.500,motor_neurons
50,A10.690,muscles
51,D12.776.930.125.750,myogenic_regulatory_factors
52,D12.776.930,transcription_factors
53,D27.720.799.047,antioxidants
54,B01.050.150.900.248.617.192,chickens
55,J01.576.423.850.700,food_preservation
56,E05.581,methods
57,J01.576.423.200.387,food_storage
58,G03.295.531.587,lipid_peroxidation
59,J02.500.600.500,meat_products
60,unknown,analysis
61,G03.295.531,oxidation-reduction
62,D02.455.426.559.389.657,phenols
63,B01.650.940.800.575.912.250.948,typhaceae
64,D03.633.100.759.758.824.751.500,1-methyl-3-isobutylxanthine
65,H02.628,pharmacology
66,unknown,"""4,4-diisothiocyanostilbene-2,2-disulfonic_acid"""
67,D02.886.645.600.080.050.100.100,4-chloromercuribenzenesulfonate
68,G03.143,biological_transport
69,unknown,drug_effects
70,D01.496.749.154,carbon_radioisotopes
71,D01.248.497.300,cations
72,D01.362.225,chlorine
73,D02.241.223.200.210,coumaric_acids
74,unknown,female
75,G02.300,hydrogen-ion_concentration
76,D02.241.511.459.450,lactic_acid
77,A11.497.497.600,oocytes
78,D02.241.755.812.800,pyruvic_acid
79,D01.496.749,radioisotopes
80,D01.552.547.725,sodium
81,D02.675.276.787.500,tetraethylammonium
82,B01.050.150.900.090.180.610.500.562,xenopus_laevis
83,D01.248.497.158.215,chlorides
84,A11.284.430.214.190.875.190.190,cytoplasmic_granules
85,D10.251,fatty_acids
86,unknown,unsaturated
87,A11.284.835.514,intracellular_membranes
88,unknown,enzymology
89,D10.570.755.375.760.550,lysophospholipids
90,D10.570,membrane_lipids
91,A03.734,pancreas
92,unknown,ultrastructure
93,D08.811.277.352.100.680.750,phospholipases_a
94,unknown,antagonists_&_inhibitors
95,D08.811.277.352.100.680.750.937,phospholipases_a2
96,D03.633.300.046.250.760,quinacrine
97,B01.050.150.900.649.313.992.635.505.700,rats
98,unknown,sprague-dawley
99,D08.811.913.477.700.100,alanine_transaminase
100,A15.145,blood
101,D13.570.583.454.240,deoxyguanosine
102,unknown,analogs_&_derivatives
103,J02.500.456,dietary_supplements
104,D10.627.430.450.390,eicosapentaenoic_acid
105,A15.145.229.334.270,erythrocyte_membrane
106,A15.145.229.334,erythrocytes
107,unknown,administration_&_dosage
108,C06.552.380.705.440,hepatitis_c
109,unknown,chronic
110,E02.319,drug_therapy
111,unknown,interferon_alpha-2
112,D23.529.374.440.890.250,interferon-alpha
113,unknown,therapeutic_use
114,G09.188.105.595.500,lymphocyte_count
115,unknown,male
116,M01.060.116.630,middle_aged
117,D12.776.828,recombinant_proteins
118,D13.570.800.790,ribavirin
119,D12.776.034,albumins
120,D12.776.377.715.548.114,antibodies
121,D12.776.377.715.548.114.323,autoantibodies
122,D23.101,biomarkers
123,N06.850.520.450.500.500,case-control_studies
124,D10.627.430.450.375,docosahexaenoic_acids
125,H01.181.122.605.512,immunohistochemistry
126,C11.768.585.439,macular_degeneration
127,E01,diagnosis
128,unknown,immunology
129,H02.403.650,pathology
130,B01.050.150.900.649.313.992.635.505.500,mice
131,D01.362.670,oxygen
132,D03.383.129.578,pyrroles
133,A09.371.729,retina
134,A11.671.650.915.937.670.650.650,rod_cell_outer_segment
135,D08.811.682.732.332,catalase
136,A08.186.211.730.885.287.500,cerebral_cortex
137,C19.246,diabetes_mellitus
138,unknown,experimental
139,C18.452.648.202.355,galactosemias
140,D08.811.682.667.092,glutathione_reductase
141,G07.775.750,oxidative_stress
142,D08.811.682.881,superoxide_dismutase
143,D27.720.470.410.750,thiobarbituric_acid_reactive_substances
144,D27.505.954.158,anti-inflammatory_agents
145,A11,cells
146,unknown,cultured
147,B01.050.150.900.649.313.992.635.075.250,cricetinae
148,D02.389,free_radicals
149,D09.698.373.475,hyaluronic_acid
150,D02.389.338.253,hydrogen_peroxide
151,A14.549.512,mouth_mucosa
152,A11.650,neuroglia
153,A15.382.680.689,neutrophils
154,D02.389.338.732,superoxides
155,D08.811.682.047.928,xanthine_oxidase
156,A11.284.149,cell_membrane
157,A11.284.430.214.190.875.336,golgi_apparatus
158,D10.570.755.375.760.400.942.625,phosphatidylinositol_phosphates
159,unknown,biosynthesis
160,D10.570.755.375.760.400.942,phosphatidylinositols
161,D12.776.543.693,phospholipid_transfer_proteins
162,D12.776.354.750,saccharomyces_cerevisiae_proteins
163,M01.060.116,adult
