,abstract,date,pmid,title
0,"appl1 interacts with adiponectin receptors and other important signaling molecules. it contains a bar and a ph domain near its n terminus, and the two domains may function as a unit (bar ph domain). we report here the crystal structures of the bar ph and ptb domains of human appl1. the structures reveal novel features for bar domain dimerization and for the interactions between the bar and ph domains. the bar domain dimer of appl1 contains two four helical bundles, whereas other bar domain dimers have only three helices in each bundle. the ph domain is located at the opposite ends of the bar domain dimer. yeast two hybrid assays confirm the interactions between the bar and ph domains. lipid binding assays show that the bar, ph, and ptb domains can bind phospholipids. the ability of appl1 to interact with multiple signaling molecules and phospholipids supports an important role for this adaptor in cell signaling.",2007,17502098,Crystal structures of the BAR-PH and PTB domains of human APPL1.
1,"the gamma aminobutyrate type a receptor associated protein (gabarap) is a ubiquitin like modifier, and is implicated in a variety of membrane trafficking and fusion events that are crucial to synaptic plasticity, autophagy and apoptosis. however, important aspects of gabarap function and regulation remain poorly understood. we review the current state of knowledge about gabarap, highlighting newly identified gabarap ligands, and discuss the possible physiological relevance of each ligand interaction.",2009,19674112,Structure and potential function of gamma-aminobutyrate type A receptor-associated protein.
2,,1956,13427411,Liver biopsy for vitamin-A studies in swine.
3,"there are two phases of somatic muscle formation in drosophila. during embryonic development, one phase of myogenesis generates larval muscle elements that mediate the relatively simple behavioural repertoire of the larva. during pupal metamorphosis, a diverse pattern of muscle fibres are assembled, and these facilitate the more elaborate behavioural patterns of the adult fly. in this review, we discuss the current status of understanding of the cellular, genetic, and molecular mechanisms of pattern formation during the second phase, imaginal muscle development. we briefly compare aspects of embryonic and adult myogenesis in drosophila and muscle development in vertebrates and highlight conserved themes and disparities between these diverse myogenic programmes.",1999,10402955,Muscle pattern diversification in Drosophila: the story of imaginal myogenesis.
4,"phenolic compounds were applied in a sausage formulation as a substitute for artificial sodium erythorbate used as antioxidant. five assays were prepared in which sodium erythorbate control at 0.05 g/100 g was replaced with a hydrosoluble mixture containing caffeic acid + carnosic acid (47% + 53%) and a liposoluble mixture containing quercetin + rutin (67% + 33%) in two final concentrations (0.05 g/100 g and 0.08 g/100 g). physico chemical, color, texture, and sensory parameters were measured on the first day and after 45 days of storage at 4 °c. all phenolic compound mixtures were able to maintain oxidative stability in the sausages when measured by the malondialdehyde concentration, which was expressed as tbars. the mixture containing quercetin + rutin at 0.05 g/100 g showed lower malondialdehyde formation after 45 days of storage, and no sensory differences from the sausage adopted as control.",2013,23014857,Effects of optimized mixtures containing phenolic compounds on the oxidative stability of sausages.
5,"we investigated the existence of an endogenous system for lactate transport in xenopus laevis oocytes. (36)cl uptake studies excluded the involvement of a dids sensitive anion antiporter as a possible pathway for lactate movement. l [(14)c]lactate uptake was unaffected by superimposed ph gradients, stimulated by the presence of na(+) in the incubating solution, and severely reduced by the monocarboxylate transporter inhibitor p chloromercuribenzenesulphonate (pcmbs). transport exhibited a broad cation specificity and was cis inhibited by other monocarboxylates, mostly by pyruvate. these results suggest that lactate uptake is mediated mainly by a transporter and that the preferred anion is pyruvate. [(14)c]pyruvate uptake exhibited the same pattern of functional properties evidenced for l lactate. kinetic parameters were calculated for both monocarboxylates, and a higher affinity for pyruvate was revealed. various inhibitors of monocarboxylate transporters reduced significantly pyruvate uptake. these studies demonstrate that xenopus laevis oocytes possess a monocarboxylate transport system that shares some functional features with the members of the mammalian monocarboxylate cotransporters family, but, in the meanwhile, exhibits some particular properties, mainly concerning cation specificity.",2000,10801286,An endogenous monocarboxylate transport in Xenopus laevis oocytes.
6,"secretory granules from the rat pancreas contain electrolyte transport pathways that may contribute to exocrine fluid production. the cl  selective transport pathway was measured indirectly in isolated granules by ionophore induced lysis after suspension in isotonic kcl. this cl  transport was shown to respond to alterations in the granule membrane lipid environment. exogenously added phospholipase a2 (pla2) caused an increase of up to 193% in the cl  specific transport by the isolated granules. in addition, the products of pla2 hydrolysis, lysophospholipids and unesterified fatty acids, directly increased the rate of cl  transport when incubated with granules in vitro. lysophospholipids (2.0 micrograms/ml) increased the cl  transport between 280 450% (depending on the lysophospholipid species). similarly, free fatty acids (10 microm) increased the granule cl  transport from 25% with capric acid (10:0) to 255% with arachidonic acid (20:4). the relative extent of stimulation by fatty acids was dependent on their carbon chain length and to a lesser extent, the degree of unsaturation. the inhibition (68%) of pla2 promoted granule lysis by 4 acetamido 4' isothiocyanatostilbene 2,2' disulfonic acid (0.5 mm) also suggests that the effect is specific for the granule cl  channel. thus, the data show that zymogen granule cl  transport is influenced by membrane lipids and supports a role for pla2 in controlling electrolyte transport during stimulus secretion coupling.",1994,8075126,The effect of phospholipase A2 on chloride transport by pancreatic secretory granules.
7,"eicosapentaenoic acid (epa) has been shown to exert anti inflammatory actions. to evaluate the effects of epa on chronic hepatitis c, we administered epa ethyl ester capsules to patients receiving the combination therapy of interferon alpha 2b and ribavirin. epa (1,800 mg/d) was supplemented in combination with vitamin e (300 mg/d) and c (600 mg/d) to 5 chronic hepatitis c patients (epa group). five patients were administered vitamin e and c but not epa (control group). blood samples were obtained before and after 4, 8, 12 and 24 wk of therapy and analyzed for fatty acid compositions of erythrocyte and plasma and serum 8 hydroxy 2' deoxyguanosine. epa in erythrocyte membrane rose to 3 fold the basal level in the epa group, while it decreased significantly in the control group after 24 wk of therapy. lymphocyte counts in the epa group increased to 120.8 +/  25.4% after 4 wk of therapy and maintained the basal level throughout therapy, whereas the counts decreased significantly in controls. the serum alanine aminotransferase level was improved significantly in the epa group. changes in lymphocyte counts following 24 wk of therapy correlated with the epa level in erythrocyte. the serum 8 hydroxy 2' deoxyguanosine level at 24 wk in the epa group was significantly lower than that in controls. these observations may suggest the beneficial effect of epa supplementation in the treatment of chronic hepatitis c patients.",2005,16521701,Effects of eicosapentaenoic acid supplementation in the treatment of chronic hepatitis C patients.
8,"age related macular degeneration (amd) is a slow, progressive disease with both genetic and environmental risk factors. free radical induced oxidation of docosahexaenoate (dha) containing lipids generates omega (2 carboxyethyl)pyrrole (cep) protein adducts that are more abundant in ocular tissues from amd than normal human donors. to understand better the role of oxidative damage in amd, we have synthesized cep modified proteins, produced anti cep antibodies, and initiated analysis of cep immunoreactivity and autoantibodies in human plasma. a highly selective rabbit polyclonal anti cep antibody was raised that binds cep 1000 times more strongly than carboxypropylpyrrole, a close structural analogue. the cep adduct uniquely indicates oxidative modification from dha derivatives because cep protein modifications cannot arise from any other common polyunsaturated fatty acid. immunocytochemistry localized cep to photoreceptor rod outer segments and retinal pigment epithelium in mouse retina and demonstrated more intense cep immunoreactivity in photoreceptors from a human amd donor compared with healthy human retina. the mean level of anti cep immunoreactivity in amd human plasma (n = 19 donors) was 1.5 fold higher (p = 0.004) than in age matched controls (n = 19 donors). sera from amd patients demonstrated mean titers of anti cep autoantibody 2.3 fold higher than controls (p = 0.02). of individuals (n = 13) exhibiting both antigen and autoantibody levels above the mean for non amd controls, 92% had amd. these results suggest that together cep immunoreactivity and autoantibody titer may have diagnostic utility in predicting amd susceptibility.",2003,12923198,"Carboxyethylpyrrole protein adducts and autoantibodies, biomarkers for age-related macular degeneration."
9,"metabolic abnormalities observed in retina and in cerebral cortex were compared in diabetic rats and experimentally galactosemic rats. diabetes or experimental galactosemia of 2 months duration significantly increased oxidative stress in retina, as shown by elevation of retinal thiobarbituric acid reactive substances (tbars) and subnormal activities of antioxidant defense enzymes, but had no such effect in the cerebral cortex. activities of sodium potassium adenosine triphosphatase [(na,k) atpase] and calcium atpase became subnormal in retina as well as in cerebral cortex. in contrast, protein kinase c (pkc) activity was elevated in retina but not in cerebral cortex in the same hyperglycemic rats. dietary supplementation with an antioxidant mixture (containing ascorbic acid, trolox, alpha tocopherol acetate, n acetyl cysteine, beta carotene, and selenium) prevented the diabetes induced and galactosemia induced elevation of retinal oxidative stress, the elevation of retinal pkc activity and the decrease of retinal atpases. in cerebral cortex, administration of the antioxidant diet also prevented the diabetes induced decreases in (na,k) atpase and calcium atpases, but had no effect on tbars and activities of pkc and antioxidant defense enzymes. the results indicate that retina and cerebral cortex differ distinctly in their response to elevation of tissue hexose, and that cerebral cortex is more resistant than retina to diabetes induced oxidative stress. the greater resistance to oxidative stress in cerebral cortex, as compared to retina, is consistent with the resistance of cerebral cortex to microvascular disease in diabetes, and with a hypothesis that oxidative stress contributes to microvascular disease in diabetes. dietary supplementation with these antioxidants offers a means to inhibit multiple hyperglycemia induced retinal metabolic abnormalities.",1999,9895229,"Abnormalities of retinal metabolism in diabetes or experimental galactosemia. VI. Comparison of retinal and cerebral cortex metabolism, and effects of antioxidant therapy."
