,rel,source,target
0,has_mesh,17502098,adaptor_proteins
1,has_mesh,17502098,signal_transducing
2,has_mesh,17502098,amino_acid_sequence
3,has_mesh,17502098,carrier_proteins
4,has_mesh,17502098,chemistry
5,has_mesh,17502098,genetics
6,has_mesh,17502098,crystallography
7,has_mesh,17502098,x-ray
8,has_mesh,17502098,humans
9,has_mesh,17502098,molecular_sequence_data
10,has_mesh,17502098,phospholipids
11,has_mesh,17502098,chemistry
12,has_mesh,17502098,metabolism
13,has_mesh,17502098,polypyrimidine_tract-binding_protein
14,has_mesh,17502098,chemistry
15,has_mesh,17502098,metabolism
16,has_mesh,17502098,protein_structure
17,has_mesh,17502098,tertiary
18,has_mesh,17502098,signal_transduction
19,has_mesh,17502098,physiology
20,has_mesh,19674112,adaptor_proteins
21,has_mesh,19674112,signal_transducing
22,has_mesh,19674112,chemistry
23,has_mesh,19674112,physiology
24,has_mesh,19674112,animals
25,has_mesh,19674112,autophagy-related_protein_8_family
26,has_mesh,19674112,calreticulin
27,has_mesh,19674112,physiology
28,has_mesh,19674112,carrier_proteins
29,has_mesh,19674112,physiology
30,has_mesh,19674112,humans
31,has_mesh,19674112,ligands
32,has_mesh,19674112,membrane_proteins
33,has_mesh,19674112,physiology
34,has_mesh,19674112,microfilament_proteins
35,has_mesh,19674112,physiology
36,has_mesh,19674112,microtubule-associated_proteins
37,has_mesh,19674112,chemistry
38,has_mesh,19674112,physiology
39,has_mesh,19674112,nerve_tissue_proteins
40,has_mesh,19674112,physiology
41,has_mesh,19674112,receptors
42,has_mesh,19674112,gaba-a
43,has_mesh,19674112,physiology
44,has_mesh,13427411,animals
45,has_mesh,13427411,biopsy
46,has_mesh,13427411,digestive_system_surgical_procedures
47,has_mesh,13427411,humans
48,has_mesh,13427411,lipid_metabolism
49,has_mesh,13427411,liver
50,has_mesh,13427411,metabolism
51,has_mesh,13427411,swine
52,has_mesh,13427411,vitamin_a
53,has_mesh,13427411,metabolism
54,has_mesh,13427411,vitamins
55,has_mesh,10402955,animals
56,has_mesh,10402955,body_patterning
57,has_mesh,10402955,physiology
58,has_mesh,10402955,dna-binding_proteins
59,has_mesh,10402955,genetics
60,has_mesh,10402955,drosophila
61,has_mesh,10402955,embryology
62,has_mesh,10402955,drosophila_proteins
63,has_mesh,10402955,gene_expression_regulation
64,has_mesh,10402955,developmental
65,has_mesh,10402955,genes
66,has_mesh,10402955,homeobox
67,has_mesh,10402955,genes
68,has_mesh,10402955,insect
69,has_mesh,10402955,hormones
70,has_mesh,10402955,metabolism
71,has_mesh,10402955,mef2_transcription_factors
72,has_mesh,10402955,metamorphosis
73,has_mesh,10402955,biological
74,has_mesh,10402955,morphogenesis
75,has_mesh,10402955,motor_neurons
76,has_mesh,10402955,muscles
77,has_mesh,10402955,embryology
78,has_mesh,10402955,myogenic_regulatory_factors
79,has_mesh,10402955,transcription_factors
80,has_mesh,10402955,genetics
81,has_mesh,23014857,animals
82,has_mesh,23014857,antioxidants
83,has_mesh,23014857,chemistry
84,has_mesh,23014857,chickens
85,has_mesh,23014857,food_preservation
86,has_mesh,23014857,methods
87,has_mesh,23014857,food_storage
88,has_mesh,23014857,lipid_peroxidation
89,has_mesh,23014857,meat_products
90,has_mesh,23014857,analysis
91,has_mesh,23014857,oxidation-reduction
92,has_mesh,23014857,phenols
93,has_mesh,23014857,chemistry
94,has_mesh,23014857,swine
95,has_mesh,23014857,typhaceae
96,has_mesh,10801286,1-methyl-3-isobutylxanthine
97,has_mesh,10801286,pharmacology
98,has_mesh,10801286,"""4,4-diisothiocyanostilbene-2,2-disulfonic_acid"""
99,has_mesh,10801286,pharmacology
100,has_mesh,10801286,4-chloromercuribenzenesulfonate
101,has_mesh,10801286,pharmacology
102,has_mesh,10801286,animals
103,has_mesh,10801286,biological_transport
104,has_mesh,10801286,drug_effects
105,has_mesh,10801286,carbon_radioisotopes
106,has_mesh,10801286,carrier_proteins
107,has_mesh,10801286,metabolism
108,has_mesh,10801286,cations
109,has_mesh,10801286,chlorine
110,has_mesh,10801286,metabolism
111,has_mesh,10801286,coumaric_acids
112,has_mesh,10801286,pharmacology
113,has_mesh,10801286,female
114,has_mesh,10801286,hydrogen-ion_concentration
115,has_mesh,10801286,lactic_acid
116,has_mesh,10801286,metabolism
117,has_mesh,10801286,oocytes
118,has_mesh,10801286,metabolism
119,has_mesh,10801286,pyruvic_acid
120,has_mesh,10801286,metabolism
121,has_mesh,10801286,radioisotopes
122,has_mesh,10801286,sodium
123,has_mesh,10801286,pharmacology
124,has_mesh,10801286,tetraethylammonium
125,has_mesh,10801286,pharmacology
126,has_mesh,10801286,xenopus_laevis
127,has_mesh,8075126,animals
128,has_mesh,8075126,biological_transport
129,has_mesh,8075126,chlorides
130,has_mesh,8075126,metabolism
131,has_mesh,8075126,cytoplasmic_granules
132,has_mesh,8075126,drug_effects
133,has_mesh,8075126,metabolism
134,has_mesh,8075126,fatty_acids
135,has_mesh,8075126,metabolism
136,has_mesh,8075126,pharmacology
137,has_mesh,8075126,fatty_acids
138,has_mesh,8075126,unsaturated
139,has_mesh,8075126,pharmacology
140,has_mesh,8075126,intracellular_membranes
141,has_mesh,8075126,enzymology
142,has_mesh,8075126,lysophospholipids
143,has_mesh,8075126,metabolism
144,has_mesh,8075126,membrane_lipids
145,has_mesh,8075126,metabolism
146,has_mesh,8075126,pancreas
147,has_mesh,8075126,metabolism
148,has_mesh,8075126,ultrastructure
149,has_mesh,8075126,phospholipases_a
150,has_mesh,8075126,antagonists_&_inhibitors
151,has_mesh,8075126,pharmacology
152,has_mesh,8075126,phospholipases_a2
153,has_mesh,8075126,quinacrine
154,has_mesh,8075126,pharmacology
155,has_mesh,8075126,rats
156,has_mesh,8075126,rats
157,has_mesh,8075126,sprague-dawley
158,has_mesh,16521701,alanine_transaminase
159,has_mesh,16521701,blood
160,has_mesh,16521701,deoxyguanosine
161,has_mesh,16521701,analogs_&_derivatives
162,has_mesh,16521701,blood
163,has_mesh,16521701,dietary_supplements
164,has_mesh,16521701,eicosapentaenoic_acid
165,has_mesh,16521701,erythrocyte_membrane
166,has_mesh,16521701,chemistry
