,ID,pmid,sen
0,17502098L0,17502098,appl1 interacts with adiponectin receptors and other important signaling molecules.
1,17502098L1,17502098,"it contains a bar and a ph domain near its n terminus, and the two domains may function as a unit (bar ph domain)."
2,17502098L2,17502098,we report here the crystal structures of the bar ph and ptb domains of human appl1.
3,17502098L3,17502098,the structures reveal novel features for bar domain dimerization and for the interactions between the bar and ph domains.
4,17502098L4,17502098,"the bar domain dimer of appl1 contains two four helical bundles, whereas other bar domain dimers have only three helices in each bundle."
5,17502098L5,17502098,the ph domain is located at the opposite ends of the bar domain dimer.
6,17502098L6,17502098,yeast two hybrid assays confirm the interactions between the bar and ph domains.
7,17502098L7,17502098,"lipid binding assays show that the bar, ph, and ptb domains can bind phospholipids."
8,17502098L8,17502098,the ability of appl1 to interact with multiple signaling molecules and phospholipids supports an important role for this adaptor in cell signaling.
9,19674112L0,19674112,"the gamma aminobutyrate type a receptor associated protein (gabarap) is a ubiquitin like modifier, and is implicated in a variety of membrane trafficking and fusion events that are crucial to synaptic plasticity, autophagy and apoptosis."
10,19674112L1,19674112,"however, important aspects of gabarap function and regulation remain poorly understood."
11,19674112L2,19674112,"we review the current state of knowledge about gabarap, highlighting newly identified gabarap ligands, and discuss the possible physiological relevance of each ligand interaction."
12,10402955L0,10402955,there are two phases of somatic muscle formation in drosophila.
13,10402955L1,10402955,"during embryonic development, one phase of myogenesis generates larval muscle elements that mediate the relatively simple behavioural repertoire of the larva."
14,10402955L2,10402955,"during pupal metamorphosis, a diverse pattern of muscle fibres are assembled, and these facilitate the more elaborate behavioural patterns of the adult fly."
15,10402955L3,10402955,"in this review, we discuss the current status of understanding of the cellular, genetic, and molecular mechanisms of pattern formation during the second phase, imaginal muscle development."
16,10402955L4,10402955,we briefly compare aspects of embryonic and adult myogenesis in drosophila and muscle development in vertebrates and highlight conserved themes and disparities between these diverse myogenic programmes.
17,23014857L0,23014857,phenolic compounds were applied in a sausage formulation as a substitute for artificial sodium erythorbate used as antioxidant.
