,source,target
0,17502098L1,17502098L0
1,17502098L2,17502098L1
2,17502098L3,17502098L2
3,17502098L4,17502098L3
4,17502098L5,17502098L4
5,17502098L6,17502098L5
6,17502098L7,17502098L6
7,17502098L8,17502098L7
8,19674112L1,19674112L0
9,19674112L2,19674112L1
10,10402955L1,10402955L0
11,10402955L2,10402955L1
12,10402955L3,10402955L2
13,10402955L4,10402955L3
14,23014857L1,23014857L0
15,23014857L2,23014857L1
16,23014857L3,23014857L2
17,23014857L4,23014857L3
18,10801286L1,10801286L0
19,10801286L2,10801286L1
20,10801286L3,10801286L2
21,10801286L4,10801286L3
22,10801286L5,10801286L4
23,10801286L6,10801286L5
24,10801286L7,10801286L6
25,10801286L8,10801286L7
26,8075126L1,8075126L0
27,8075126L2,8075126L1
28,8075126L3,8075126L2
29,8075126L4,8075126L3
30,8075126L5,8075126L4
31,8075126L6,8075126L5
32,8075126L7,8075126L6
33,8075126L8,8075126L7
34,8075126L9,8075126L8
35,16521701L1,16521701L0
36,16521701L2,16521701L1
37,16521701L3,16521701L2
38,16521701L4,16521701L3
39,16521701L5,16521701L4
40,16521701L6,16521701L5
41,16521701L7,16521701L6
42,16521701L8,16521701L7
43,16521701L9,16521701L8
44,16521701L10,16521701L9
45,12923198L1,12923198L0
46,12923198L2,12923198L1
47,12923198L3,12923198L2
48,12923198L4,12923198L3
49,12923198L5,12923198L4
50,12923198L6,12923198L5
51,12923198L7,12923198L6
52,12923198L8,12923198L7
53,12923198L9,12923198L8
54,9895229L1,9895229L0
55,9895229L2,9895229L1
56,9895229L3,9895229L2
57,9895229L4,9895229L3
58,9895229L5,9895229L4
59,9895229L6,9895229L5
60,9895229L7,9895229L6
61,9895229L8,9895229L7
62,6261530L1,6261530L0
63,6261530L2,6261530L1
64,6261530L3,6261530L2
65,6261530L4,6261530L3
66,6261530L5,6261530L4
67,6261530L6,6261530L5
68,27762305L1,27762305L0
69,27762305L2,27762305L1
70,27762305L3,27762305L2
71,27762305L4,27762305L3
72,27762305L5,27762305L4
73,27762305L6,27762305L5
74,3360755L1,3360755L0
75,3360755L2,3360755L1
76,3360755L3,3360755L2
77,3360755L4,3360755L3
78,3360755L5,3360755L4
79,3360755L6,3360755L5
80,3360755L7,3360755L6
81,3360755L8,3360755L7
82,3360755L9,3360755L8
83,3360755L10,3360755L9
84,3360755L11,3360755L10
85,3360755L12,3360755L11
86,3360755L13,3360755L12
87,9013956L1,9013956L0
88,9013956L2,9013956L1
89,9013956L3,9013956L2
90,9013956L4,9013956L3
91,9013956L5,9013956L4
92,19317493L1,19317493L0
93,19317493L2,19317493L1
94,19317493L3,19317493L2
95,19317493L4,19317493L3
96,19317493L5,19317493L4
97,19317493L6,19317493L5
98,19317493L7,19317493L6
99,19317493L8,19317493L7
100,1558948L1,1558948L0
101,1558948L2,1558948L1
102,1558948L3,1558948L2
103,1558948L4,1558948L3
104,16028633L1,16028633L0
105,16028633L2,16028633L1
106,16028633L3,16028633L2
107,16028633L4,16028633L3
108,16028633L5,16028633L4
109,16028633L6,16028633L5
110,16028633L7,16028633L6
111,16028633L8,16028633L7
112,8245124L1,8245124L0
113,8245124L2,8245124L1
114,8245124L3,8245124L2
115,8245124L4,8245124L3
116,8245124L5,8245124L4
117,8245124L6,8245124L5
118,8245124L7,8245124L6
119,568121L1,568121L0
120,568121L2,568121L1
121,568121L3,568121L2
122,568121L4,568121L3
123,568121L5,568121L4
124,8223341L1,8223341L0
125,8223341L2,8223341L1
126,8223341L3,8223341L2
127,8223341L4,8223341L3
128,8223341L5,8223341L4
129,8223341L6,8223341L5
130,8223341L7,8223341L6
131,10865835L1,10865835L0
132,10865835L2,10865835L1
133,10865835L3,10865835L2
134,10865835L4,10865835L3
135,2772621L1,2772621L0
136,2772621L2,2772621L1
137,2772621L3,2772621L2
138,20923416L1,20923416L0
139,20923416L2,20923416L1
140,20923416L3,20923416L2
141,20923416L4,20923416L3
142,20923416L5,20923416L4
143,20923416L6,20923416L5
144,20923416L7,20923416L6
145,20923416L8,20923416L7
146,20923416L9,20923416L8
147,11568460L1,11568460L0
148,11568460L2,11568460L1
149,11568460L3,11568460L2
150,11568460L4,11568460L3
151,11568460L5,11568460L4
152,11568460L6,11568460L5
153,11568460L7,11568460L6
154,11568460L8,11568460L7
155,11568460L9,11568460L8
156,11568460L10,11568460L9
157,24650148L1,24650148L0
158,24650148L2,24650148L1
159,24650148L3,24650148L2
160,24650148L4,24650148L3
161,24650148L5,24650148L4
